# ----------------------------------------
# OTexts.org
# Location
# 20120101-20220531
# ----------------------------------------

Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Uganda,"4,913","4,819","6,246",70.78%,2.19,00:03:21,0,$0.00,0.00%
Serbia,"4,889","4,679","9,123",62.57%,2.78,00:02:53,0,$0.00,0.00%
Slovenia,"4,585","4,445","13,943",49.49%,4.12,00:05:29,0,$0.00,0.00%
Jamaica,"4,468","4,398","7,275",67.85%,2.53,00:02:38,0,$0.00,0.00%
Kazakhstan,"4,445","4,304","7,112",74.34%,2.23,00:02:45,0,$0.00,0.00%
Cyprus,"4,141","4,024","9,521",52.83%,4.00,00:04:59,0,$0.00,0.00%
Algeria,"4,117","4,070","7,065",63.58%,3.00,00:04:04,0,$0.00,0.00%
Lebanon,"3,954","3,860","5,638",63.07%,3.24,00:06:14,0,$0.00,0.00%
Jordan,"3,743","3,649","6,737",61.47%,2.45,00:03:28,0,$0.00,0.00%
Costa Rica,"3,720","3,626","10,574",51.99%,3.74,00:05:22,0,$0.00,0.00%
Zambia,"3,415","3,392","4,562",74.86%,2.13,00:02:19,0,$0.00,0.00%
Macao,"3,345","3,228","6,503",65.11%,3.07,00:03:19,0,$0.00,0.00%
Belarus,"3,252","3,065","12,492",49.26%,3.29,00:04:19,0,$0.00,0.00%
Guatemala,"3,228","3,158","10,995",50.42%,4.51,00:06:04,0,$0.00,0.00%
Oman,"3,065","3,041","5,848",62.81%,3.12,00:04:52,0,$0.00,0.00%
Sudan,"3,018","2,784","4,304",66.84%,2.42,00:05:27,0,$0.00,0.00%
Latvia,"2,971","2,901","4,819",64.56%,3.03,00:03:58,0,$0.00,0.00%
Estonia,"2,901","2,784","5,965",49.81%,4.02,00:05:52,0,$0.00,0.00%
Kuwait,"2,831","2,831","4,492",68.23%,2.73,00:02:35,0,$0.00,0.00%
Luxembourg,"2,760","2,667","5,848",56.00%,4.29,00:06:10,0,$0.00,0.00%
Botswana,"2,714","2,784","3,720",67.93%,3.19,00:03:29,0,$0.00,0.00%
Trinidad & Tobago,"2,690","2,667","3,813",74.25%,2.15,00:02:52,0,$0.00,0.00%
Cambodia,"2,550","2,433","3,532",66.22%,2.33,00:02:52,0,$0.00,0.00%
Iraq,"2,503","2,433","4,445",64.72%,3.15,00:03:43,0,$0.00,0.00%
Qatar,"2,433","2,363","3,252",64.02%,2.73,00:03:42,0,$0.00,0.00%
Malta,"2,363","2,363","3,837",71.93%,3.60,00:03:44,0,$0.00,0.00%
Azerbaijan,"2,269","2,152","4,234",51.39%,3.34,00:06:48,0,$0.00,0.00%
Armenia,"2,246","2,246","5,170",67.87%,2.72,00:03:15,0,$0.00,0.00%
Iceland,"2,199","2,176","7,813",51.50%,4.07,00:05:53,0,$0.00,0.00%
Bolivia,"2,176","2,176","5,638",47.30%,4.33,00:06:43,0,$0.00,0.00%
Myanmar (Burma),"2,129","2,082","3,275",60.00%,2.83,00:04:08,0,$0.00,0.00%
Mongolia,"2,082","2,082","3,322",64.78%,4.04,00:04:36,0,$0.00,0.00%
Namibia,"2,059","2,035","2,877",74.80%,2.23,00:01:23,0,$0.00,0.00%
Georgia,"2,035","2,012","3,486",63.74%,2.57,00:03:12,0,$0.00,0.00%
Uruguay,"2,035","1,965","6,550",43.92%,4.84,00:08:23,0,$0.00,0.00%
Venezuela,"2,012","1,988","4,421",44.97%,4.36,00:08:13,0,$0.00,0.00%
Dominican Republic,"1,965","1,895","3,837",54.26%,3.83,00:03:34,0,$0.00,0.00%
Puerto Rico,"1,965","1,895","2,643",71.70%,2.35,00:03:07,0,$0.00,0.00%
Albania,"1,942","1,942","4,492",60.93%,2.99,00:03:34,0,$0.00,0.00%
Rwanda,"1,895","1,895","3,252",65.47%,1.87,00:01:53,0,$0.00,0.00%
Cameroon,"1,871","1,918","4,211",57.23%,3.57,00:07:21,0,$0.00,0.00%
Malawi,"1,825","1,801","2,527",70.36%,2.04,00:02:21,0,$0.00,0.00%
North Macedonia,"1,661","1,591","4,304",41.31%,5.41,00:11:32,0,$0.00,0.00%
Bahrain,"1,591","1,567","2,035",73.56%,2.33,00:03:43,0,$0.00,0.00%
Bosnia & Herzegovina,"1,544","1,521","5,287",38.94%,6.76,00:09:23,0,$0.00,0.00%
Uzbekistan,"1,474","1,450","3,065",58.01%,5.88,00:14:00,0,$0.00,0.00%
El Salvador,"1,357","1,357","2,831",48.75%,3.26,00:04:22,0,$0.00,0.00%
Côte d’Ivoire,"1,310","1,263","3,649",51.27%,4.77,00:08:05,0,$0.00,0.00%
Panama,"1,263","1,263","1,942",69.88%,2.48,00:02:09,0,$0.00,0.00%
Senegal,"1,263","1,263","5,100",56.41%,4.76,00:06:19,0,$0.00,0.00%
Palestine,"1,216","1,216","1,848",65.80%,2.95,00:03:47,0,$0.00,0.00%
Barbados,"1,146","1,146","1,567",71.67%,2.16,00:01:58,0,$0.00,0.00%
Eswatini,"1,029","1,006","1,474",68.25%,2.03,00:02:56,0,$0.00,0.00%
Fiji,936,912,"1,544",62.11%,2.71,00:03:10,0,$0.00,0.00%
Brunei,912,889,"2,363",64.37%,2.91,00:04:16,0,$0.00,0.00%
Honduras,842,842,"2,667",49.12%,4.49,00:07:52,0,$0.00,0.00%
Lesotho,842,842,"1,287",63.64%,2.22,00:00:58,0,$0.00,0.00%
Paraguay,842,866,"3,369",63.88%,3.11,00:04:06,0,$0.00,0.00%
Nicaragua,819,842,"1,240",54.68%,5.34,00:04:33,0,$0.00,0.00%
Somalia,749,725,"1,263",59.30%,2.59,00:04:38,0,$0.00,0.00%
Guyana,725,725,"3,883",82.54%,1.93,00:02:04,0,$0.00,0.00%
Moldova,678,655,"1,333",66.69%,3.26,00:01:53,0,$0.00,0.00%
Madagascar,678,702,"1,357",53.43%,3.91,00:04:26,0,$0.00,0.00%
Afghanistan,655,655,"1,123",58.33%,4.89,00:04:19,0,$0.00,0.00%
Maldives,608,608,749,78.10%,1.75,00:00:44,0,$0.00,0.00%
Kyrgyzstan,585,585,702,76.64%,1.63,00:01:37,0,$0.00,0.00%
Papua New Guinea,585,585,725,64.55%,1.71,00:01:42,0,$0.00,0.00%
Bhutan,561,561,842,55.58%,3.81,00:03:42,0,$0.00,0.00%
Libya,561,561,983,71.41%,2.26,00:03:04,0,$0.00,0.00%
Benin,491,491,"1,755",42.68%,4.08,00:08:57,0,$0.00,0.00%
Mozambique,491,468,702,53.28%,2.33,00:04:35,0,$0.00,0.00%
Réunion,491,491,678,34.51%,3.17,00:04:48,0,$0.00,0.00%
Belize,444,398,"1,638",44.26%,2.79,00:06:52,0,$0.00,0.00%
Syria,421,421,561,66.67%,1.50,00:01:49,0,$0.00,0.00%
St. Lucia,398,421,702,59.97%,3.70,00:05:52,0,$0.00,0.00%
Sierra Leone,398,398,444,42.12%,3.06,00:05:54,0,$0.00,0.00%
Kosovo,374,374,561,87.52%,3.54,00:07:58,0,$0.00,0.00%
Burkina Faso,328,304,444,73.87%,3.74,00:03:58,0,$0.00,0.00%
South Sudan,328,328,351,86.61%,1.33,00:00:11,0,$0.00,0.00%
Yemen,328,328,444,68.47%,2.11,00:03:12,0,$0.00,0.00%
Bahamas,304,304,702,50.00%,2.23,00:03:43,0,$0.00,0.00%
Haiti,304,281,421,44.42%,4.39,00:04:56,0,$0.00,0.00%
Cayman Islands,304,281,374,68.72%,4.13,00:02:53,0,$0.00,0.00%
Laos,304,304,304,53.95%,3.46,00:02:18,0,$0.00,0.00%
Liberia,304,304,351,66.67%,4.53,00:04:20,0,$0.00,0.00%
Mali,304,257,398,64.57%,2.70,00:01:13,0,$0.00,0.00%
Montenegro,281,281,538,60.97%,5.91,00:04:57,0,$0.00,0.00%
Grenada,257,257,257,72.76%,1.91,00:00:52,0,$0.00,0.00%
Aruba,234,234,304,84.54%,1.46,00:00:22,0,$0.00,0.00%
Burundi,234,234,421,72.21%,3.72,00:04:49,0,$0.00,0.00%
Liechtenstein,234,257,421,72.21%,1.78,00:04:06,0,$0.00,0.00%
Angola,211,211,678,58.70%,3.86,00:06:51,0,$0.00,0.00%
Congo - Kinshasa,211,187,257,54.47%,1.73,00:03:21,0,$0.00,0.00%
Cuba,211,164,304,46.05%,10.47,00:06:05,0,$0.00,0.00%
Curaçao,187,187,257,72.76%,2.18,00:03:32,0,$0.00,0.00%
Djibouti,187,187,398,70.60%,1.59,00:01:37,0,$0.00,0.00%
Gambia,187,164,257,63.81%,1.91,00:04:52,0,$0.00,0.00%
Guam,187,187,234,50.00%,1.90,00:00:28,0,$0.00,0.00%
Niger,164,140,281,49.82%,3.00,00:02:02,0,$0.00,0.00%
Tajikistan,164,164,187,74.87%,1.63,00:01:56,0,$0.00,0.00%
St. Kitts & Nevis,140,140,187,62.57%,1.50,00:03:45,0,$0.00,0.00%
Mauritania,140,140,398,41.21%,5.41,00:12:39,0,$0.00,0.00%
Seychelles,140,140,140,67.14%,1.84,00:02:59,0,$0.00,0.00%
St. Vincent & Grenadines,140,140,211,88.63%,1.22,00:02:39,0,$0.00,0.00%
Faroe Islands,117,117,328,21.34%,6.99,00:04:04,0,$0.00,0.00%
Monaco,117,117,164,57.32%,2.57,00:00:33,0,$0.00,0.00%
Bermuda,94,70,187,74.87%,1.75,00:00:57,0,$0.00,0.00%
Gibraltar,94,94,117,40.17%,2.60,00:02:01,0,$0.00,0.00%
Sint Maarten,94,70,164,85.37%,1.14,00:00:49,0,$0.00,0.00%
U.S. Virgin Islands,94,94,94,74.47%,1.24,00:00:09,0,$0.00,0.00%
Vanuatu,94,70,117,19.66%,7.60,00:05:49,0,$0.00,0.00%
Antigua & Barbuda,70,70,94,100.00%,1.00,00:00:00,0,$0.00,0.00%
Cape Verde,70,70,304,30.92%,2.77,00:02:32,0,$0.00,0.00%
Dominica,70,70,94,74.47%,1.74,00:11:19,0,$0.00,0.00%
French Guiana,70,70,94,100.00%,1.00,00:00:00,0,$0.00,0.00%
Guadeloupe,70,70,211,55.45%,2.77,00:04:07,0,$0.00,0.00%
Suriname,70,70,94,50.00%,1.99,00:04:33,0,$0.00,0.00%
Togo,70,70,70,100.00%,1.00,00:00:00,0,$0.00,0.00%
Caribbean Netherlands,47,23,47,100.00%,1.00,00:00:00,0,$0.00,0.00%
Gabon,47,47,47,100.00%,1.00,00:00:00,0,$0.00,0.00%
Guernsey,47,47,47,48.94%,3.98,00:00:43,0,$0.00,0.00%
Martinique,47,47,94,50.00%,3.73,00:02:56,0,$0.00,0.00%
French Polynesia,47,23,47,100.00%,1.00,00:00:00,0,$0.00,0.00%
Timor-Leste,47,47,70,67.14%,1.67,00:00:13,0,$0.00,0.00%
Tonga,47,47,47,100.00%,1.00,00:00:00,0,$0.00,0.00%
Andorra,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
American Samoa,23,23,23,0.00%,4.09,00:03:46,0,$0.00,0.00%
Åland Islands,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
Central African Republic,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
Congo - Brazzaville,23,23,351,46.72%,2.53,00:06:50,0,$0.00,0.00%
Western Sahara,23,23,23,0.00%,3.04,00:17:03,0,$0.00,0.00%
Isle of Man,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
New Caledonia,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
Solomon Islands,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
Svalbard & Jan Mayen,23,23,23,0.00%,4.09,00:27:27,0,$0.00,0.00%
San Marino,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
Turks & Caicos Islands,23,23,23,0.00%,4.09,00:03:25,0,$0.00,0.00%
Turkmenistan,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
British Virgin Islands,23,23,23,100.00%,1.00,00:00:00,0,$0.00,0.00%
,"5,593,462","5,475,973","11,650,943",57.66%,3.48,00:05:08,0,$0.00,0.00%
